t/h,Elapsed Time (s),Voltage(V)
0.206666667,7.44E+02,3.07605
0.206944444,7.45E+02,3.07635
0.207222222,7.46E+02,3.07662
0.2075,7.47E+02,3.07637
0.207777778,7.48E+02,3.0766
0.208055556,7.49E+02,3.07635
0.208333333,7.50E+02,3.0768
0.208611111,7.51E+02,3.07612
0.208888889,7.52E+02,3.07676
0.209166667,7.53E+02,3.07625
0.209444444,7.54E+02,3.07614
0.209722222,7.55E+02,3.07675
0.21,7.56E+02,3.07641
0.210277778,7.57E+02,3.07646
0.210555556,7.58E+02,3.07668
0.210833333,7.59E+02,3.07619
0.211111111,7.60E+02,3.07705
0.211388889,7.61E+02,3.07621
0.211666667,7.62E+02,3.07617
0.211944444,7.63E+02,3.07626
0.212222222,7.64E+02,3.07628
0.2125,7.65E+02,3.07668
0.212777778,7.66E+02,3.07681
0.213055556,7.67E+02,3.07641
0.213333333,7.68E+02,3.07678
0.213611111,7.69E+02,3.07638
0.213888889,7.70E+02,3.07727
0.214166667,7.71E+02,3.07653
0.214444444,7.72E+02,3.07611
0.214722222,7.73E+02,3.07616
0.215,7.74E+02,3.07616
0.215277778,7.75E+02,3.07702
0.215555556,7.76E+02,3.0768
0.215833333,7.77E+02,3.07701
0.216111111,7.78E+02,3.07677
0.216388889,7.79E+02,3.07613
0.216666667,7.80E+02,3.07705
